Channel 1,Channel 2 with peak index
1157,1119
1142,1137
1110,1088
1090,1078
1079,1056
1058,1046
1048,1025
1016,1004
1006,994
985,963
980,963
970,947
959,941
954,931
939,921
939,916
939,916
933,916
922,900
923,901
924,900
923,900
923,900
939,910
939,916
938,916
944,917
954,931
966,937
970,947
980,952
986,963
1016,983
1027,994
1048,1025
1058,1025
1080,1057
1099,1068
1110,1088
1156,1120
1157,1135
1188,1156
1204,1166
1235,1214
1250,1229
1283,1261
1314,1276
1329,1308
1391,1350
1391,1371
1439,1403
1459,1420
1501,1482
1534,1497
1548,1529
1590,1550
1611,1592
1673,1634
1694,1655
1736,1719
1757,1719
1799,1782
1838,1803
1859,1846
1920,1890
1921,1911
1983,1954
2004,1975
2046,2036
2066,2051
2113,2103
2153,2123
2174,2164
2237,2205
2237,2226
2300,2267
2315,2286
2347,2335
2390,2356
2409,2398
2441,2413
2457,2445
2520,2487
2535,2508
2567,2555
2583,2555
2615,2603
2646,2618
2661,2648
2692,2670
2692,2680
2739,2712
2749,2728
2771,2759
2781,2769
2803,2790
2823,2801
2834,2824
2864,2843
2864,2854
2880,2864
2885,2869
2896,2885
2907,2890
2911,2901
2911,2900
2912,2900
2927,2910
3983,2916
2927,3983
2927,2915
2928,2916
2917,2911
2911,2900
2911,2900
2911,2900
2896,2889
2891,2885
2880,2869
2875,2864
2866,2853
2844,2842
2834,2822
2802,2800
2802,2791
2771,2770
2760,2758
2739,2728
2709,2712
2692,2681
2671,2670
2660,2649
2614,2618
2598,2602
2567,2555
2551,2554
2521,2508
2478,2487
2457,2445
2424,2415
2409,2397
2347,2356
2331,2335
2300,2288
2279,2269
2238,2226
2195,2205
2175,2164
2111,2122
2111,2102
2049,2060
2028,2037
1983,1974
1942,1953
1921,1911
1880,1889
1860,1846
1798,1803
1777,1781
1735,1718
1715,1719
1675,1656
1631,1634
1611,1592
1558,1550
1549,1528
1502,1497
1481,1482
1441,1418
1424,1419
1393,1371
1350,1349
1329,1308
1282,1276
1282,1260
1236,1229
1219,1215
1188,1166
1169,1156
1157,1135
1126,1119
1110,1088
1079,1067
1068,1057
1047,1025
1037,1025
1017,994
995,984
986,963
970,953
970,948
954,937
948,932
938,916
938,916
940,916
928,911
923,900
922,900
922,900
923,900
927,901
938,915
940,916
938,916
950,921
954,931
969,942
975,948
985,964
995,963
1017,994
1039,1004
1047,1025
1077,1046
1079,1057
1110,1078
1126,1088
1157,1135
1167,1145
1190,1167
1219,1182
1235,1214
1282,1245
1282,1261
1330,1292
1350,1309
1392,1371
1425,1387
1439,1418
1481,1439
1502,1482
1549,1513
1569,1529
1610,1593
1632,1592
1674,1655
1715,1676
1736,1718
1797,1761
1797,1782
1860,1826
1880,1846
1921,1911
1941,1926
1984,1974
2025,1994
2046,2036
2111,2079
2112,2102
2174,2143
2195,2163
2237,2226
2280,2247
2300,2287
2332,2303
2347,2335
2410,2376
2425,2398
2457,2445
2478,2444
2520,2508
2551,2524
2567,2555
2613,2587
2614,2602
2661,2633
2671,2649
2692,2681
2709,2695
2741,2728
2761,2738
2772,2760
2802,2779
2802,2790
2834,2812
2844,2821
2865,2853
2877,2859
2880,2869
2891,2874
2896,2885
2912,2895
2911,2900
2912,2900
2916,2900
2928,2916
2927,2916
2927,2916
2927,2916
2927,2916
2911,2905
2911,2901
2912,2901
2906,2896
2897,2884
2885,2879
2880,2869
2865,2858
2865,2854
2834,2833
2823,2822
2802,2791
2782,2779
2771,2759
2750,2748
2740,2728
2692,2696
2683,2681
2660,2649
2645,2649
2615,2602
2582,2586
2568,2554
2536,2525
2519,2507
2457,2465
2441,2446
2410,2398
2389,2378
2348,2335
2316,2319
2300,2288
2237,2246
2237,2225
2174,2184
2153,2162
2111,2102
2071,2082
2049,2037
2007,2016
1983,1975
1921,1932
1900,1911
2896,2885
2890,2884
2881,2869
2869,2864
2865,2853
2835,2832
2834,2822
2802,2801
2791,2791
2771,2759
2759,2750
2740,2727
2708,2712
2692,2680
2660,2660
2661,2649
2614,2618
2598,2601
2567,2555
2536,2539
2519,2508
2478,2486
2457,2445
2409,2414
2389,2398
2346,2334
2331,2335
2301,2287
2258,2267
2236,2225
2186,2184
2175,2164
2111,2122
2090,2103
2049,2039
2029,2019
1983,1974
1941,1952
1921,1911
1859,1867
1859,1846
1797,1803
1777,1783
1736,1719
1695,1698
1674,1655
1632,1634
1611,1592
1549,1550
1533,1528
1501,1482
1481,1482
1441,1419
1408,1403
1392,1371
1330,1329
1329,1307
1282,1276
1266,1260
1235,1213
1220,1199
1189,1166
1168,1156
1158,1135
1110,1104
1110,1088
1079,1067
1068,1058
1047,1025
1028,1015
1016,994
995,983
985,963
970,953
964,947
954,932
949,931
940,916
938,916
939,916
929,906
923,900
923,900
923,900
922,900
928,905
940,916
938,916
938,916
954,926
954,931
969,942
975,949
985,963
1007,974
1016,994
1037,1005
1047,1026
1079,1047
1089,1057
1110,1089
1126,1089
1158,1135
1178,1146
1188,1167
1234,1198
1235,1214
1282,1245
1297,1261
1329,1308
1350,1327
1393,1371
1423,1387
1439,1419
1501,1460
1501,1482
1548,1513
1569,1530
1611,1592
1653,1613
1673,1655
1715,1677
1735,1719
1798,1761
1818,1782
1859,1846
1880,1847
1922,1911
1962,1932
1983,1974
2044,2015
2046,2035
2111,2079
2132,2103
2174,2163
2195,2179
2238,2226
2279,2246
2300,2288
2347,2319
2347,2335
2409,2377
2425,2397
2457,2445
2499,2466
2519,2507
2552,2523
2568,2555
2614,2586
2629,2602
2661,2649
2671,2649
2694,2681
2723,2696
2739,2728
2771,2749
2771,2758
2802,2781
2812,2791
2834,2822
2844,2831
2866,2853
2875,2858
2880,2869
2896,2879
2895,2884
2910,2895
2911,2899
2911,2900
2923,2906
3983,2916
2927,2916
2926,3983
2927,2916
2921,2917
2911,2901
2910,2900
2912,2902
2900,2895
2896,2884
2881,2875
2879,2869
2865,2859
2854,2853
2834,2822
2823,2828
2803,2790
2781,2780
2771,2760
2738,2738
2739,2728
2692,2696
2681,2680
2660,2649
2630,2633
2613,2602
2583,2586
2567,2555
2520,2523
2499,2507
2457,2445
2440,2444
2411,2398
2367,2376
2347,2335
2311,2304
2299,2287
2237,2246
2216,2226
2174,2163
2153,2145
2113,2103
2070,2081
2049,2038
1984,1995
1983,1974
1921,1932
1900,1912
1859,1847
1818,1825
1798,1782
1756,1761
1736,1719
1674,1677
1652,1655
1611,1592
1591,1592
1550,1529
1519,1512
1502,1481
1440,1439
1439,1418
1392,1386
1371,1371
1329,1307
1313,1306
1283,1261
1252,1245
1235,1214
1188,1181
1188,1166
1157,1146
1141,1136
1109,1088
1090,1078
1079,1057
1057,1047
1047,1026
1016,1004
1005,994
984,963
980,963
971,948
959,942
954,932
938,921
938,916
939,915
933,916
922,900
923,900
924,900
922,900
922,901
938,910
938,916
938,916
943,917
954,932
965,937
970,947
980,952
985,963
1016,984
1026,994
1047,1027
1058,1026
1080,1057
1098,1067
1110,1088
1156,1120
1157,1135
1189,1156
1204,1167
1235,1214
1250,1228
1283,1261
1314,1276
1330,1308
1392,1350
1392,1371
1439,1402
1460,1420
1502,1481
1534,1497
1549,1529
1591,1549
1611,1592
1674,1634
