Channel 1,Channel 2
965,933
1952,1950
1931,1909
1870,1866
1872,1846
1810,1803
1789,1782
1747,1720
1706,1699
1685,1656
1644,1636
1623,1594
1561,1552
1544,1529
1513,1484
1492,1484
1450,1420
1419,1404
1403,1374
1341,1331
1340,1310
1294,1277
1278,1263
1246,1216
1229,1200
1199,1169
1179,1158
1169,1138
1121,1106
1122,1090
1090,1069
1079,1059
1058,1028
1038,1017
1028,996
1006,986
997,964
982,955
976,949
965,934
959,934
950,918
950,917
949,918
938,907
933,902
935,901
934,902
934,902
941,907
949,918
949,918
949,919
965,928
966,934
980,943
986,949
996,965
1017,975
1028,996
1048,1007
1059,1028
1091,1049
1100,1058
1122,1091
1136,1091
1168,1137
1189,1147
1200,1169
1246,1199
1246,1216
1294,1246
1309,1263
1340,1310
1362,1330
1403,1373
1434,1389
1451,1421
1513,1462
1514,1484
1560,1514
1581,1531
1622,1594
1664,1615
1685,1656
1727,1679
1748,1720
1810,1761
1830,1781
1871,1846
1890,1846
1931,1909
1972,1930
1992,1972
2058,2014
2059,2036
2124,2078
2144,2102
2186,2165
2206,2182
2249,2227
2291,2248
2312,2291
2358,2322
2359,2337
2421,2378
2436,2400
2467,2447
2510,2468
2531,2510
2562,2526
2578,2557
2626,2589
2640,2604
2672,2652
2682,2652
2704,2683
2734,2699
2750,2731
2781,2751
2782,2762
2814,2782
2823,2794
2845,2826
2855,2835
2875,2857
2885,2862
2891,2873
2906,2883
2907,2887
2922,2898
2922,2904
2922,2904
2932,2910
2938,2919
2938,2920
2938,2919
2938,2919
2932,2919
2922,2904
2922,2903
2922,2903
2912,2898
2906,2888
2891,2877
2891,2872
2876,2861
2865,2857
2844,2827
2835,2827
2813,2793
2792,2783
2782,2763
2750,2741
2751,2731
2704,2699
2693,2684
2672,2652
2641,2636
2625,2605
2594,2590
2579,2558
2532,2526
2510,2509
2468,2448
2451,2447
2422,2400
2379,2379
2358,2338
2320,2306
2312,2290
2250,2247
2228,2228
2186,2165
2164,2144
2123,2102
2081,2081
2059,2036
1994,1993
1993,1971
1931,1929
1911,1909
1870,1846
1830,1824
1809,1782
1768,1762
1748,1720
1686,1678
1664,1655
1622,1594
1601,1594
1560,1530
1529,1515
1512,1486
1450,1441
1450,1420
1404,1388
1382,1374
1340,1310
1326,1303
1293,1263
1262,1247
1246,1217
1200,1184
1200,1168
1168,1147
1152,1137
1121,1091
1101,1080
1090,1059
1069,1050
1058,1027
1028,1006
1017,995
995,965
990,965
980,949
970,943
965,935
949,923
949,917
950,917
944,918
934,902
933,902
934,902
934,902
934,903
949,912
950,918
949,917
955,918
964,934
975,939
981,948
991,955
996,965
1028,985
1038,995
1058,1028
1068,1028
1090,1059
1111,1069
1121,1091
1168,1122
1168,1137
1200,1157
1215,1169
1246,1216
1262,1231
1293,1263
1324,1278
1340,1311
1403,1352
1404,1373
1450,1404
1471,1421
1512,1484
1544,1499
1560,1530
1602,1552
1623,1594
1686,1636
1705,1655
1747,1719
1768,1720
1810,1782
1850,1803
1871,1846
1930,1887
1931,1908
1993,1949
2014,1972
2059,2036
2079,2054
2123,2101
2165,2122
2186,2165
2248,2206
2249,2227
2312,2268
2327,2290
2358,2337
2400,2357
2421,2400
2453,2417
2469,2448
2532,2489
2546,2510
2578,2558
2593,2557
2626,2605
2656,2620
2672,2653
2703,2674
2703,2683
2751,2714
2761,2731
2782,2762
2792,2772
2813,2794
2834,2804
2844,2826
2875,2846
2876,2857
2891,2866
2896,2872
2906,2889
2917,2893
2923,2903
2922,2904
2922,2904
2939,2914
2938,2919
2938,2920
2937,2919
2938,2920
2927,2914
2922,2905
2922,2903
2922,2903
2907,2892
2901,2888
2891,2873
2886,2867
2876,2857
2855,2846
2844,2826
2812,2804
2814,2794
2781,2772
2772,2762
2750,2730
2720,2715
2703,2673
2703,2684
2750,2715
2760,2730
2782,2762
2802,2771
2813,2794
2833,2803
2844,2825
2875,2845
2880,2857
2891,2872
2897,2871
2906,2887
2917,2893
2921,2904
2922,2904
2922,2904
2938,2915
2938,2919
2938,2919
2939,2919
2938,2919
2927,2914
2921,2903
2922,2904
2922,2903
2907,2894
2902,2888
2891,2872
2881,2867
2875,2857
2854,2846
2845,2825
2813,2804
2803,2794
2782,2762
2772,2762
2750,2730
2719,2715
2703,2684
2684,2676
2673,2652
2625,2622
2610,2605
2579,2558
2564,2557
2531,2510
2489,2489
2468,2448
2421,2417
2421,2400
2359,2360
2343,2337
2312,2290
2269,2268
2249,2227
2206,2206
2186,2164
2123,2123
2109,2103
2059,2037
2039,2036
1993,1970
1951,1951
1930,1908
1890,1867
1871,1846
1809,1804
1788,1782
1747,1719
1727,1719
1685,1656
1644,1636
1622,1594
1560,1551
1560,1531
1513,1500
1492,1484
1451,1421
1419,1404
1403,1373
1361,1352
1340,1310
1293,1278
1278,1264
1246,1216
1232,1216
1199,1168
1178,1159
1167,1137
1136,1107
1121,1090
1090,1070
1080,1059
1059,1028
1049,1026
1027,996
1006,986
996,965
980,954
982,950
965,940
960,934
951,918
949,917
949,918
938,913
934,903
934,902
934,903
934,902
940,902
949,917
950,918
949,917
960,928
965,934
981,945
986,949
996,965
1008,965
1028,997
1048,1006
1058,1028
1089,1048
1090,1059
1121,1081
1137,1091
1168,1138
1189,1147
1200,1168
1230,1184
1246,1216
1293,1247
1308,1263
1340,1310
1361,1309
1403,1372
1434,1389
1449,1420
1493,1461
1513,1484
1560,1516
1581,1530
1622,1594
