Channel 1,Channel 2
1664,1657
1622,1594
1581,1573
1560,1530
1513,1499
1513,1483
1450,1441
1434,1420
1403,1372
1361,1352
1340,1310
1310,1294
1293,1262
1246,1231
1244,1215
1200,1168
1189,1167
1168,1138
1136,1121
1122,1090
1100,1079
1090,1059
1058,1038
1048,1027
1027,996
1017,997
996,965
986,960
982,949
965,939
965,934
949,923
950,918
949,917
943,913
933,902
935,902
934,901
934,903
934,902
949,917
949,918
950,919
960,923
966,934
975,937
981,949
995,960
1006,965
1027,996
1037,997
1058,1027
1079,1038
1091,1058
1122,1080
1121,1090
1168,1121
1178,1137
1199,1168
1231,1185
1246,1216
1278,1231
1293,1262
1339,1293
1341,1309
1403,1372
1419,1373
1450,1422
1492,1441
1514,1483
1544,1498
1560,1531
1622,1572
1643,1594
1685,1656
1706,1657
1747,1719
1788,1741
1810,1781
1870,1825
1870,1845
1930,1888
1951,1908
1992,1971
2035,1993
2059,2035
2102,2057
2123,2101
2185,2143
2184,2164
2249,2223
2270,2227
2312,2290
2343,2305
2359,2337
2399,2357
2420,2400
2467,2431
2489,2447
2530,2510
2546,2511
2578,2557
2609,2573
2625,2604
2672,2636
2671,2651
2703,2673
2718,2683
2750,2730
2771,2742
2781,2761
2803,2772
2812,2793
2843,2814
2844,2825
2875,2856
2880,2856
2890,2872
2901,2877
2907,2887
2915,2891
2922,2903
2920,2902
2927,2903
2937,2919
2938,2919
2937,2918
2937,2919
2938,2918
2921,2908
2922,2902
2921,2903
2916,2903
2906,2886
2896,2883
2891,2872
2881,2867
2875,2855
2843,2834
2845,2825
2812,2804
2802,2792
2782,2762
2759,2751
2751,2730
2718,2714
2703,2684
2671,2662
2656,2652
2625,2604
2609,2605
2578,2557
2546,2542
2531,2509
2468,2468
2467,2447
2420,2415
2400,2399
2358,2337
2335,2322
2311,2289
2270,2269
2249,2226
2186,2185
2184,2164
2122,2103
2102,2101
2059,2037
2016,2014
1992,1971
1951,1949
1930,1909
1869,1866
1850,1845
1810,1782
1789,1783
1748,1720
1706,1698
1685,1655
1623,1614
1623,1594
1560,1551
1544,1530
1513,1484
1471,1463
1450,1421
1419,1404
1403,1372
1340,1331
1341,1309
1294,1272
1278,1262
1246,1217
1215,1200
1200,1168
1178,1157
1168,1138
1121,1106
1111,1090
1090,1059
1080,1060
1059,1027
1038,1017
1028,995
996,975
996,965
980,956
976,949
965,933
955,929
951,918
950,918
949,917
934,907
933,902
934,902
934,902
934,903
945,907
950,918
950,916
950,918
964,928
970,933
981,949
986,950
996,965
1017,975
1028,995
1059,1017
1058,1028
1090,1048
1100,1059
1122,1090
1152,1107
1169,1138
1190,1148
1199,1168
1246,1200
1246,1215
1294,1262
1308,1262
1340,1310
1381,1331
1404,1373
1434,1388
1450,1421
1512,1463
1528,1483
1560,1530
1581,1531
1623,1594
1664,1614
1685,1655
1747,1698
1747,1719
1809,1762
1830,1782
1870,1845
1910,1868
1929,1908
1972,1929
1992,1971
2058,2015
2057,2036
2122,2097
2144,2101
2186,2165
2227,2185
2249,2227
2290,2247
2311,2290
2357,2321
2380,2337
2421,2400
2437,2401
2468,2447
2509,2468
2532,2509
2578,2542
2578,2557
2624,2589
2641,2605
2671,2651
2692,2663
2703,2683
2735,2699
2749,2730
2781,2751
2781,2762
2812,2792
2823,2793
2844,2826
2864,2835
2876,2856
2885,2861
2891,2872
2906,2882
2912,2888
2922,2903
2921,2903
2922,2903
2932,2908
2938,2918
2937,2919
2937,2919
2937,2919
2932,2919
2922,2903
2921,2904
2922,2903
2912,2898
2906,2887
2890,2877
2890,2871
2875,2857
2865,2856
2844,2825
2823,2814
2813,2793
2792,2782
2781,2762
2749,2741
2734,2731
2704,2683
2692,2684
2672,2651
2640,2636
2626,2604
2579,2573
2578,2557
2530,2526
2509,2510
