Channel 1,Channel 2
1391,1371
969,948
958,943
954,932
939,921
938,916
938,916
933,916
922,900
922,900
922,900
922,900
924,900
938,911
938,916
938,916
943,916
954,932
964,937
970,948
981,957
985,962
1016,983
1026,994
1048,1024
1058,1026
1078,1058
1099,1069
1110,1089
1158,1119
1157,1135
1188,1157
1203,1166
1235,1214
1266,1229
1282,1261
1312,1276
1330,1308
1392,1350
1407,1371
1439,1420
1460,1418
1501,1482
1533,1497
1548,1529
1591,1566
1611,1592
1673,1634
1694,1655
1736,1718
1756,1719
1797,1782
1838,1805
1859,1847
1921,1890
1921,1911
1982,1954
2004,1974
2045,2036
2088,2057
2110,2103
2153,2122
2175,2164
2236,2205
2256,2225
2299,2287
2314,2288
2346,2336
2388,2357
2409,2397
2442,2427
2457,2445
2519,2486
2535,2507
2566,2555
2582,2555
2614,2601
2645,2617
2660,2649
2692,2670
2691,2681
2738,2712
2749,2728
2770,2759
2790,2769
2800,2791
2821,2801
2832,2822
2864,2842
2869,2853
2879,2869
2884,2869
2895,2885
2905,2890
2910,2900
2911,2900
2911,2901
2926,2911
2926,2916
3983,3983
2926,2916
2926,2916
2915,2910
2910,2899
2912,2900
2910,2899
2895,2890
2890,2885
2879,2869
2869,2864
2864,2853
2843,2843
2834,2823
2801,2801
2792,2790
2770,2759
2759,2759
2739,2728
2707,2712
2691,2681
2671,2678
2660,2649
2614,2617
2598,2602
2566,2555
2550,2555
2519,2508
2477,2486
2456,2445
2410,2413
2408,2397
2346,2356
2331,2335
2299,2288
2257,2267
2236,2226
2194,2205
2174,2164
2111,2123
2101,2102
2048,2039
2028,2038
1983,1975
1940,1954
1920,1912
1880,1871
1859,1847
1797,1804
1776,1783
1735,1718
1714,1719
1673,1656
1631,1635
1611,1592
1549,1549
1548,1529
1501,1498
1480,1482
1438,1418
1407,1403
1391,1372
1349,1351
1330,1308
1282,1277
1267,1261
1234,1214
1219,1214
1188,1167
1167,1156
1157,1135
1127,1105
1109,1088
1078,1067
1069,1057
1047,1025
1037,1025
1016,995
995,985
984,963
970,952
970,948
954,937
949,931
938,916
938,916
938,916
928,910
924,901
923,900
923,900
923,900
927,900
938,916
938,916
939,916
949,926
954,932
970,942
975,947
985,962
995,963
1016,994
1037,1005
1047,1025
1080,1046
1079,1057
1110,1078
1126,1088
1157,1135
1177,1146
1188,1167
1219,1182
1237,1214
1282,1245
1296,1261
1329,1308
1350,1308
1392,1372
1423,1387
1438,1419
1481,1459
1502,1482
1548,1513
1569,1529
1611,1592
1631,1592
1673,1655
1715,1678
1735,1719
1798,1761
1797,1782
1859,1826
1880,1846
1920,1911
1962,1932
1982,1975
2024,1995
2046,2037
2110,2079
2131,2102
2173,2163
2195,2163
2236,2226
2278,2247
2299,2288
2332,2315
2347,2336
2409,2377
2424,2398
2456,2444
2477,2445
2519,2507
2550,2522
2566,2555
2614,2586
2613,2601
2660,2633
2670,2649
2692,2680
2723,2696
2738,2728
2759,2738
2772,2760
2801,2779
2810,2790
2833,2822
2843,2822
2864,2853
2874,2859
2879,2869
2890,2879
2895,2885
2910,2895
2911,2900
2910,2900
2916,2900
2926,2916
2926,2915
2927,2916
2927,2916
2925,2916
2910,2905
2910,2900
2911,2900
2900,2895
